asset_id,department,asset_type,criticality,health_score,failure_risk,asset_age_years,days_since_inspection,defect_count,urgent_defect_count,max_safety_impact,repeat_failure,maintenance_count,corrective_maintenance_count,previous_failure_count,urgent_maintenance
ML-02496,TRD,OHE,5,92.99,40.33,10.2,29,1,0,3,0,2,1,1,0
ML-02497,TRD,Section Insulator,1,85.27,23.63,14.6,59,3,1,3,0,3,1,0,0
ML-02498,ENGINEERING,Point & Crossing,4,65.07,62.04,22.0,72,3,0,3,0,5,3,3,1
ML-02499,TRD,Transformer,4,91.22,27.02,9.0,60,0,0,0,0,2,2,0,0
ML-02500,TRD,Transformer,2,63.94,42.95,17.2,204,3,0,3,0,2,0,0,0
ML-02501,ENGINEERING,Bridge,2,81.6,29.29,12.3,27,0,0,0,0,5,0,2,0
ML-02502,ENGINEERING,Bridge,2,62.18,40.99,12.6,14,2,1,3,1,2,2,0,0
ML-02503,S&T,Signal,3,70.86,49.96,15.3,44,2,2,4,0,1,1,1,0
ML-02504,TRD,Transformer,2,80.56,33.71,13.9,31,0,0,0,0,4,2,1,0
ML-02505,TRD,Section Insulator,3,76.92,40.52,11.8,73,1,0,3,0,1,0,0,1
ML-02506,S&T,Point Machine,1,62.61,49.19,25.6,87,2,1,3,1,1,1,0,0
ML-02507,TRD,Section Insulator,1,65.62,30.73,10.5,49,3,0,3,0,9,2,2,0
ML-02508,TRD,Section Insulator,3,72.52,35.77,9.8,136,0,0,0,1,2,0,0,0
ML-02509,ENGINEERING,Track,4,50.45,71.61,21.3,92,1,1,3,1,5,3,3,1
ML-02510,ENGINEERING,Bridge,2,73.92,35.05,10.7,83,0,0,0,0,2,0,1,0
ML-02511,ENGINEERING,Track,3,59.7,53.17,19.1,108,1,0,5,0,4,2,0,1
ML-02512,S&T,Signal,3,69.24,51.06,13.4,81,0,0,0,1,6,2,3,1
ML-02513,S&T,Signal,3,77.74,43.3,14.5,77,2,0,4,0,3,1,0,0
ML-02514,S&T,Axle Counter,1,69.51,43.79,9.5,124,1,1,2,0,2,2,1,0
ML-02515,S&T,Point Machine,5,70.79,52.76,9.9,38,1,0,3,1,5,1,3,0
ML-02516,ENGINEERING,Point & Crossing,4,75.04,43.7,16.8,47,1,0,3,0,3,0,0,0
ML-02517,S&T,Point Machine,2,96.49,6.91,3.0,112,1,0,3,0,0,0,0,0
ML-02518,S&T,Axle Counter,4,66.05,54.15,16.8,168,6,3,1,1,7,4,1,0
ML-02519,ENGINEERING,Bridge,5,81.74,44.35,9.3,211,3,2,3,1,3,0,0,0
ML-02520,TRD,Section Insulator,5,89.31,49.48,14.6,54,1,0,2,0,3,2,0,0
ML-02521,TRD,OHE,4,74.0,46.04,7.3,85,0,0,0,1,3,3,1,0
ML-02522,ENGINEERING,Point & Crossing,4,61.81,63.48,13.6,118,1,1,4,1,5,2,2,0
ML-02523,S&T,Axle Counter,5,53.76,77.67,30.0,85,1,0,3,1,3,1,3,0
ML-02524,ENGINEERING,Point & Crossing,5,71.81,51.05,7.2,110,2,1,1,0,1,0,0,0
ML-02525,S&T,Axle Counter,2,69.51,51.94,22.0,226,1,0,3,1,4,1,2,0
ML-02526,ENGINEERING,Track,5,82.56,48.16,9.0,157,2,1,3,0,6,3,1,0
ML-02527,TRD,OHE,5,63.74,58.2,11.9,96,2,0,3,0,2,0,1,1
ML-02528,ENGINEERING,Track,4,77.2,45.36,3.6,97,0,0,0,1,4,1,1,0
ML-02529,S&T,Point Machine,2,81.72,26.33,5.5,31,2,0,1,0,2,1,0,0
ML-02530,TRD,Transformer,4,70.21,48.29,14.4,106,0,0,0,0,4,1,2,1
ML-02531,TRD,Transformer,3,73.9,46.47,15.9,89,2,1,1,1,6,2,3,0
ML-02532,S&T,Point Machine,3,77.05,37.66,14.2,59,1,0,3,1,5,1,1,0
ML-02533,ENGINEERING,Bridge,2,68.38,42.96,18.6,153,1,0,2,1,8,1,3,0
ML-02534,S&T,Axle Counter,4,73.78,58.58,14.7,74,3,0,3,1,2,2,1,0
ML-02535,TRD,Section Insulator,4,79.02,35.99,5.3,88,3,2,2,0,1,1,1,0
ML-02536,ENGINEERING,Bridge,3,77.86,25.54,5.4,80,5,1,2,0,5,1,0,0
ML-02537,S&T,Axle Counter,3,80.15,47.57,12.0,37,0,0,0,0,3,2,0,0
ML-02538,TRD,Section Insulator,3,84.99,42.87,8.5,91,1,0,3,0,7,1,3,0
ML-02539,ENGINEERING,Bridge,1,87.55,20.97,8.6,138,1,0,3,1,2,1,0,0
ML-02540,ENGINEERING,Track,2,63.38,34.73,14.0,43,1,1,2,0,2,0,1,0
ML-02541,ENGINEERING,Bridge,1,82.1,27.4,11.5,76,0,0,0,0,3,1,3,0
ML-02542,TRD,Section Insulator,3,66.66,49.15,20.6,43,2,0,3,0,3,2,0,0
ML-02543,ENGINEERING,Track,4,54.64,67.25,20.5,26,4,2,3,0,3,2,3,0
ML-02544,TRD,OHE,1,56.03,45.77,19.5,53,1,0,4,0,1,0,0,0
ML-02545,S&T,Point Machine,4,80.42,50.66,18.7,51,1,0,3,1,1,0,0,1
ML-02546,S&T,Point Machine,2,78.95,26.21,7.4,21,1,0,3,1,2,1,1,0
ML-02547,ENGINEERING,Point & Crossing,1,44.48,54.68,23.1,20,2,1,3,0,4,2,2,0
ML-02548,S&T,Signal,2,87.87,19.22,7.0,69,0,0,0,1,5,2,0,0
ML-02549,S&T,Axle Counter,4,49.01,78.82,19.7,41,4,1,3,1,5,3,2,0
ML-02550,ENGINEERING,Track,4,75.54,46.71,14.4,63,2,1,3,1,0,0,0,0
ML-02551,TRD,Transformer,2,75.71,37.22,23.3,145,1,1,3,1,1,0,1,0
ML-02552,TRD,Section Insulator,4,90.68,43.35,14.1,196,0,0,0,0,4,2,1,0
ML-02553,S&T,Axle Counter,2,73.43,32.6,12.0,52,6,3,2,1,5,2,0,0
ML-02554,S&T,Point Machine,1,69.84,32.08,18.3,72,2,1,3,0,1,1,1,0
ML-02555,ENGINEERING,Bridge,3,84.04,27.5,8.7,35,0,0,0,1,3,1,0,0
ML-02556,TRD,Transformer,5,56.37,57.09,7.6,64,4,1,3,0,4,2,1,0
ML-02557,ENGINEERING,Track,4,82.14,49.9,13.3,189,1,0,3,1,0,0,0,0
ML-02558,TRD,OHE,2,90.34,26.68,5.3,94,1,1,3,0,3,1,0,0
ML-02559,ENGINEERING,Bridge,1,70.13,38.57,14.2,96,0,0,0,0,1,1,0,0
ML-02560,ENGINEERING,Point & Crossing,1,86.9,28.91,8.6,23,0,0,0,0,4,1,0,1
ML-02561,ENGINEERING,Point & Crossing,5,69.29,53.33,12.0,78,0,0,0,0,3,2,1,0
ML-02562,ENGINEERING,Point & Crossing,2,92.13,14.13,2.2,76,1,0,1,1,0,0,0,0
ML-02563,ENGINEERING,Bridge,3,92.35,32.13,8.2,83,1,0,3,1,2,0,0,0
ML-02564,ENGINEERING,Bridge,4,59.43,72.5,28.0,106,0,0,0,0,4,3,1,1
ML-02565,S&T,Signal,4,69.38,37.59,2.9,315,2,0,1,0,1,1,0,0
ML-02566,ENGINEERING,Bridge,3,48.9,62.24,21.3,227,2,0,3,1,3,0,1,0
ML-02567,ENGINEERING,Point & Crossing,5,63.76,61.61,16.6,18,2,1,3,0,5,1,2,1
ML-02568,ENGINEERING,Point & Crossing,3,75.13,39.59,10.9,69,1,0,3,1,5,3,0,1
ML-02569,ENGINEERING,Bridge,3,67.02,50.12,16.9,81,2,1,3,0,3,2,1,1
ML-02570,S&T,Point Machine,4,73.33,50.29,7.8,50,3,0,5,1,1,1,1,1
ML-02571,TRD,Transformer,3,88.97,37.41,11.7,59,3,0,3,0,4,1,1,0
ML-02572,S&T,Point Machine,4,59.43,56.37,16.7,73,1,1,3,1,3,1,1,0
ML-02573,ENGINEERING,Bridge,3,75.24,43.57,11.5,251,6,5,2,0,3,1,1,0
ML-02574,TRD,Section Insulator,2,57.0,47.24,21.4,37,2,0,3,0,1,0,0,0
ML-02575,ENGINEERING,Bridge,2,62.17,54.23,22.8,110,2,0,3,0,0,0,0,0
ML-02576,ENGINEERING,Bridge,4,91.68,31.61,5.1,50,2,0,3,0,3,0,1,0
ML-02577,S&T,Axle Counter,5,86.34,46.15,12.7,97,2,0,3,0,7,3,2,0
ML-02578,ENGINEERING,Track,2,96.41,16.33,6.3,105,0,0,0,0,0,0,0,0
ML-02579,ENGINEERING,Bridge,5,67.38,54.17,17.7,193,1,0,1,1,2,1,0,0
ML-02580,S&T,Signal,3,78.95,34.56,11.7,74,0,0,0,1,3,2,1,0
ML-02581,TRD,Section Insulator,3,88.26,26.51,11.8,29,2,1,3,0,4,2,0,0
ML-02582,ENGINEERING,Point & Crossing,3,83.37,30.52,8.4,48,1,1,3,1,3,0,0,0
ML-02583,TRD,Section Insulator,4,79.74,41.94,6.1,72,1,1,3,0,0,0,0,0
ML-02584,S&T,Signal,3,94.12,25.57,7.8,49,1,0,3,1,6,3,1,0
ML-02585,TRD,Section Insulator,5,100.0,36.52,7.3,36,1,1,2,1,1,0,1,0
ML-02586,ENGINEERING,Bridge,1,91.09,8.18,5.7,31,1,0,3,0,3,0,1,0
ML-02587,TRD,OHE,1,82.67,28.92,17.4,77,0,0,0,0,1,1,0,0
ML-02588,S&T,Axle Counter,4,80.22,41.52,10.1,80,1,0,3,0,10,1,4,0
ML-02589,TRD,Section Insulator,5,39.23,89.21,27.7,101,2,0,2,1,2,1,1,1
ML-02590,S&T,Point Machine,4,66.49,56.76,14.7,21,1,1,3,0,6,2,5,0
ML-02591,S&T,Axle Counter,5,83.49,46.94,11.6,70,1,0,3,0,2,0,1,0
ML-02592,ENGINEERING,Bridge,3,87.93,31.83,7.4,70,0,0,0,0,5,1,3,0
ML-02593,TRD,Section Insulator,4,80.85,32.67,6.8,197,2,0,2,0,2,0,0,0
ML-02594,TRD,Section Insulator,2,91.73,25.41,15.4,82,2,0,1,0,3,1,1,0
ML-02595,TRD,Section Insulator,4,68.65,55.66,11.4,48,2,0,3,0,5,4,0,1
ML-02596,ENGINEERING,Point & Crossing,2,88.57,25.24,9.3,26,0,0,0,0,3,1,0,0
ML-02597,S&T,Axle Counter,2,76.63,41.34,9.8,89,1,0,3,1,3,3,0,0
ML-02598,TRD,OHE,4,59.26,58.4,19.1,36,0,0,0,1,1,1,1,0
ML-02599,ENGINEERING,Track,4,87.28,36.98,6.9,38,0,0,0,0,3,2,0,0
ML-02600,ENGINEERING,Bridge,4,84.69,31.48,9.9,135,0,0,0,0,4,0,1,0
ML-02601,S&T,Signal,2,63.65,49.2,22.6,98,2,1,3,0,2,1,0,0
ML-02602,S&T,Point Machine,5,68.92,43.36,6.9,76,1,0,3,1,5,4,1,0
ML-02603,TRD,Section Insulator,1,88.92,15.2,4.0,26,3,1,2,0,2,0,0,0
ML-02604,ENGINEERING,Point & Crossing,4,59.83,62.14,16.3,102,0,0,0,1,2,1,2,0
ML-02605,ENGINEERING,Point & Crossing,4,74.43,53.45,17.3,190,2,0,3,0,3,1,0,1
ML-02606,ENGINEERING,Point & Crossing,4,88.38,37.98,10.9,104,1,0,3,0,3,1,1,0
ML-02607,TRD,OHE,5,40.71,79.08,23.8,60,2,1,5,1,4,4,2,1
ML-02608,ENGINEERING,Bridge,2,67.2,46.5,14.9,122,1,0,2,0,4,2,0,1
ML-02609,ENGINEERING,Point & Crossing,4,62.21,65.13,18.7,125,0,0,0,1,6,5,5,1
ML-02610,ENGINEERING,Track,4,57.54,66.35,22.8,170,3,0,3,1,4,2,2,0
ML-02611,TRD,OHE,3,66.61,53.47,16.6,35,1,1,3,1,3,1,3,0
ML-02612,ENGINEERING,Track,5,72.41,57.59,13.6,156,0,0,0,1,1,1,1,0
ML-02613,S&T,Point Machine,4,76.6,46.38,14.5,82,1,0,3,1,4,0,1,0
ML-02614,ENGINEERING,Point & Crossing,4,71.06,60.08,14.0,219,3,1,2,0,2,2,2,0
ML-02615,S&T,Signal,4,60.91,67.25,23.2,79,3,2,1,1,0,0,0,0
ML-02616,ENGINEERING,Track,4,68.24,54.77,10.9,69,0,0,0,0,7,5,1,1
ML-02617,S&T,Axle Counter,2,82.38,29.36,17.1,14,0,0,0,1,7,1,1,0
ML-02618,ENGINEERING,Bridge,3,79.93,36.85,15.8,60,1,0,3,0,2,1,0,0
ML-02619,TRD,Transformer,4,85.76,42.68,9.1,97,0,0,0,0,3,2,1,0
ML-02620,TRD,Section Insulator,4,72.4,55.62,13.8,37,0,0,0,1,8,5,3,1
ML-02621,ENGINEERING,Bridge,4,81.29,39.82,7.6,64,3,1,1,1,1,0,1,1
ML-02622,S&T,Signal,3,52.14,63.3,27.3,46,0,0,0,0,4,1,3,0
ML-02623,TRD,Transformer,3,75.12,34.73,11.2,95,2,1,3,1,5,1,2,1
ML-02624,S&T,Axle Counter,5,55.52,67.48,21.0,63,1,0,3,0,3,2,3,0
ML-02625,ENGINEERING,Point & Crossing,2,87.5,23.76,5.2,62,0,0,0,0,2,1,1,0
ML-02626,ENGINEERING,Point & Crossing,4,98.89,31.23,5.2,69,2,0,2,1,2,2,1,1
ML-02627,TRD,OHE,5,61.43,68.09,15.8,86,0,0,0,1,6,3,2,0
ML-02628,ENGINEERING,Bridge,4,75.43,43.6,4.5,34,4,1,3,0,2,0,1,0
ML-02629,ENGINEERING,Bridge,4,62.78,66.76,20.6,54,2,0,3,0,5,2,2,1
ML-02630,ENGINEERING,Bridge,3,71.59,38.08,7.1,68,2,2,2,0,3,1,0,0
ML-02631,ENGINEERING,Point & Crossing,3,59.9,53.16,16.4,109,2,0,2,0,8,6,4,0
ML-02632,ENGINEERING,Point & Crossing,3,75.65,31.61,7.1,84,0,0,0,1,2,1,0,0
ML-02633,S&T,Axle Counter,5,95.21,34.77,5.4,38,3,0,3,0,2,1,0,0
ML-02634,ENGINEERING,Point & Crossing,1,74.12,26.21,11.4,16,0,0,0,1,5,1,4,0
ML-02635,ENGINEERING,Bridge,5,79.27,55.28,12.8,39,1,0,5,0,5,2,1,0
ML-02636,ENGINEERING,Track,3,98.58,26.15,3.3,138,1,0,3,0,3,0,0,0
ML-02637,TRD,Section Insulator,4,73.18,54.85,14.5,60,1,0,1,1,2,0,0,0
ML-02638,ENGINEERING,Point & Crossing,3,79.92,39.14,11.1,74,1,0,2,0,3,1,2,0
ML-02639,TRD,OHE,3,71.9,51.75,19.2,121,1,0,3,0,4,3,1,0
ML-02640,TRD,Transformer,3,60.94,55.87,27.2,68,1,0,3,0,1,0,1,1
ML-02641,S&T,Axle Counter,3,74.96,35.99,7.4,136,1,0,3,1,4,1,0,1
ML-02642,TRD,Transformer,5,80.55,47.56,12.5,52,2,0,1,0,0,0,0,0
ML-02643,S&T,Signal,4,76.92,43.48,8.6,67,0,0,0,0,3,1,1,0
ML-02644,ENGINEERING,Bridge,2,87.57,27.53,9.5,71,1,0,2,0,1,1,0,1
ML-02645,TRD,OHE,5,81.82,42.62,5.1,137,2,0,1,1,5,2,3,0
ML-02646,ENGINEERING,Bridge,3,72.0,45.71,18.4,73,2,2,4,0,1,1,1,1
ML-02647,TRD,Transformer,5,50.11,79.93,21.4,74,0,0,0,1,5,2,3,1
ML-02648,S&T,Axle Counter,3,82.69,39.0,8.8,172,1,0,2,0,3,0,1,0
ML-02649,TRD,OHE,3,85.31,33.19,5.3,51,1,0,4,1,2,0,0,0
ML-02650,ENGINEERING,Track,4,77.73,43.62,6.4,36,5,0,3,1,6,2,2,0
ML-02651,S&T,Point Machine,4,65.02,61.48,12.6,130,1,0,3,0,4,3,0,0
ML-02652,TRD,OHE,3,61.62,52.24,16.0,182,4,3,3,0,5,2,1,0
ML-02653,TRD,OHE,5,65.6,57.79,6.9,17,2,1,3,0,3,2,1,0
ML-02654,TRD,Transformer,4,77.01,50.41,12.0,34,0,0,0,1,3,3,0,0
ML-02655,ENGINEERING,Point & Crossing,3,73.36,42.97,19.5,96,0,0,0,1,1,0,0,1
ML-02656,S&T,Signal,3,93.88,19.34,6.0,41,1,0,3,1,4,2,0,0
ML-02657,ENGINEERING,Track,4,66.15,55.44,15.0,38,2,0,3,1,4,3,3,1
ML-02658,TRD,Section Insulator,2,90.51,26.39,11.4,100,0,0,0,1,2,1,0,1
ML-02659,S&T,Point Machine,4,78.2,50.23,15.4,23,1,1,3,0,4,3,1,0
ML-02660,ENGINEERING,Point & Crossing,3,96.78,28.96,11.0,93,1,1,3,0,4,1,0,0
ML-02661,S&T,Axle Counter,3,87.28,33.81,6.6,162,0,0,0,0,2,1,1,0
ML-02662,ENGINEERING,Track,2,66.87,31.97,13.0,33,3,0,3,0,3,0,1,0
ML-02663,TRD,Transformer,3,67.08,56.41,19.2,210,0,0,0,0,2,1,2,1
ML-02664,ENGINEERING,Bridge,2,86.48,38.44,9.9,72,1,1,3,1,4,2,2,0
ML-02665,ENGINEERING,Bridge,2,88.2,33.67,8.3,44,2,2,3,1,4,2,3,0
ML-02666,TRD,OHE,4,89.54,26.42,8.7,76,0,0,0,0,1,0,0,0
ML-02667,ENGINEERING,Point & Crossing,4,66.13,57.69,19.7,30,3,1,3,1,5,4,2,0
ML-02668,S&T,Point Machine,5,64.15,59.44,12.4,119,2,0,5,0,2,2,1,1
ML-02669,S&T,Axle Counter,5,87.07,47.22,6.3,44,3,1,3,0,1,0,0,0
ML-02670,TRD,Section Insulator,5,64.03,60.0,13.4,115,2,2,3,1,4,3,2,1
ML-02671,ENGINEERING,Track,4,61.18,48.88,11.9,44,2,1,3,0,4,3,1,0
ML-02672,ENGINEERING,Track,2,86.46,17.16,5.3,96,1,0,3,0,1,0,0,0
ML-02673,S&T,Axle Counter,4,82.41,34.0,2.6,71,3,1,2,0,0,0,0,0
ML-02674,TRD,OHE,1,87.09,20.09,9.3,61,0,0,0,0,2,1,0,0
ML-02675,ENGINEERING,Point & Crossing,4,78.62,47.48,8.5,69,1,0,3,1,4,3,1,0
ML-02676,ENGINEERING,Point & Crossing,3,87.18,31.3,5.4,45,3,0,3,1,1,1,0,0
ML-02677,TRD,OHE,2,67.82,39.52,10.1,47,0,0,0,0,3,1,0,0
ML-02678,S&T,Point Machine,3,75.87,46.23,15.9,164,1,0,3,0,6,2,2,0
ML-02679,S&T,Point Machine,4,73.14,51.27,14.0,67,3,2,2,0,4,2,2,0
ML-02680,S&T,Point Machine,2,76.39,39.21,12.6,119,0,0,0,0,8,2,1,1
ML-02681,ENGINEERING,Track,1,90.96,13.98,7.8,50,1,0,3,1,3,0,1,0
ML-02682,S&T,Point Machine,4,66.32,48.3,8.3,85,5,1,1,0,6,4,3,1
ML-02683,ENGINEERING,Bridge,4,56.87,62.58,12.2,165,1,0,3,1,5,5,2,0
ML-02684,S&T,Signal,2,68.36,43.8,16.7,42,1,0,5,1,3,3,0,1
ML-02685,S&T,Point Machine,3,71.8,51.6,21.5,75,1,1,3,1,5,3,2,0
ML-02686,S&T,Signal,5,92.73,40.38,6.2,32,3,0,3,0,1,0,0,0
ML-02687,ENGINEERING,Point & Crossing,2,75.24,41.25,16.0,137,2,0,5,0,2,0,0,0
ML-02688,ENGINEERING,Track,4,92.82,27.31,6.1,58,2,0,2,1,5,2,1,0
ML-02689,S&T,Axle Counter,5,65.03,63.96,14.8,27,2,0,2,1,7,4,3,1
ML-02690,ENGINEERING,Bridge,1,77.63,25.55,10.4,19,0,0,0,0,3,0,0,0
ML-02691,ENGINEERING,Bridge,4,84.48,39.05,7.4,76,1,0,2,1,2,1,0,0
ML-02692,TRD,Transformer,3,84.75,36.56,10.3,42,1,0,2,1,3,1,2,0
ML-02693,ENGINEERING,Track,1,95.85,4.97,4.9,135,0,0,0,0,1,0,0,1
ML-02694,ENGINEERING,Track,4,69.69,51.35,8.8,127,1,0,3,1,5,1,1,0
ML-02695,ENGINEERING,Track,2,67.81,38.3,14.5,40,4,0,4,1,3,1,0,0
ML-02696,TRD,OHE,4,69.59,59.32,25.4,44,1,0,5,1,4,2,3,1
ML-02697,S&T,Signal,3,61.98,53.56,13.6,54,3,0,1,1,3,1,0,0
ML-02698,ENGINEERING,Point & Crossing,5,76.52,51.76,10.7,13,2,2,1,1,3,2,0,1
ML-02699,S&T,Point Machine,5,46.76,70.88,17.7,26,2,1,3,0,2,1,2,0
ML-02700,ENGINEERING,Point & Crossing,2,65.7,39.4,11.0,33,3,1,3,0,7,3,0,0
ML-02701,S&T,Signal,1,91.62,11.04,5.5,42,4,1,3,0,1,1,0,0
ML-02702,TRD,OHE,2,67.71,36.33,15.5,107,0,0,0,0,4,1,1,0
ML-02703,TRD,OHE,5,74.72,58.66,16.1,214,5,0,4,1,3,0,1,1
ML-02704,TRD,OHE,5,64.93,58.3,16.2,113,3,2,1,0,10,2,3,0
ML-02705,ENGINEERING,Bridge,3,72.67,38.67,11.0,66,2,1,2,1,3,2,1,0
ML-02706,S&T,Signal,5,60.77,68.79,16.4,155,5,2,4,1,5,3,1,0
ML-02707,ENGINEERING,Bridge,4,74.07,47.61,11.0,97,1,0,2,1,4,2,1,0
ML-02708,S&T,Axle Counter,3,86.94,26.59,6.0,37,1,1,3,1,7,2,1,0
ML-02709,TRD,Section Insulator,3,81.34,28.63,3.5,94,1,1,2,1,3,0,1,0
ML-02710,ENGINEERING,Track,5,53.94,82.08,21.5,29,2,0,3,0,7,4,2,1
ML-02711,TRD,OHE,4,66.31,61.0,23.5,103,2,0,4,0,5,0,3,1
ML-02712,TRD,Transformer,5,63.88,74.11,22.4,65,2,0,2,1,2,0,2,1
ML-02713,ENGINEERING,Point & Crossing,4,65.38,46.79,14.3,86,2,1,3,1,0,0,0,0
ML-02714,ENGINEERING,Bridge,3,85.14,34.79,6.4,33,0,0,0,1,3,1,0,0
ML-02715,TRD,OHE,1,56.24,38.81,20.5,155,2,0,3,0,4,1,0,1
ML-02716,TRD,Transformer,5,83.8,40.58,13.3,70,0,0,0,0,2,1,0,0
ML-02717,TRD,Section Insulator,2,66.01,49.25,13.3,77,1,0,3,0,2,0,1,0
ML-02718,S&T,Axle Counter,2,88.6,24.82,8.7,146,0,0,0,0,0,0,0,0
ML-02719,ENGINEERING,Point & Crossing,3,80.36,32.72,7.6,58,0,0,0,0,3,2,0,0
ML-02720,S&T,Axle Counter,4,46.46,73.19,21.1,158,3,1,1,0,5,2,1,1
ML-02721,ENGINEERING,Bridge,3,71.33,44.57,11.6,204,2,0,3,1,4,2,0,0
ML-02722,S&T,Axle Counter,5,94.75,31.36,6.5,19,1,0,3,1,2,1,0,0
ML-02723,TRD,OHE,2,78.87,37.62,15.1,90,2,0,3,1,3,1,1,0
ML-02724,ENGINEERING,Point & Crossing,2,83.54,22.47,7.7,107,3,2,2,0,3,0,1,0
ML-02725,TRD,OHE,3,81.34,37.02,9.5,100,1,0,3,0,4,2,1,1
ML-02726,ENGINEERING,Bridge,4,69.4,65.63,15.2,60,3,0,2,0,2,1,0,1
ML-02727,ENGINEERING,Bridge,5,100.0,31.14,5.4,109,1,0,3,0,4,1,1,0
ML-02728,ENGINEERING,Point & Crossing,3,65.83,52.47,17.2,93,2,0,4,0,3,1,2,0
ML-02729,TRD,Transformer,5,82.6,48.94,7.9,118,2,1,2,0,4,3,0,0
ML-02730,ENGINEERING,Point & Crossing,3,77.9,34.32,5.7,34,3,0,3,0,4,1,1,0
ML-02731,ENGINEERING,Track,3,78.31,41.43,10.9,144,2,0,3,1,6,5,1,0
ML-02732,TRD,Section Insulator,1,78.72,35.84,7.9,98,1,1,3,1,2,1,1,0
ML-02733,S&T,Signal,3,58.6,51.3,18.7,77,1,1,3,0,7,5,2,0
ML-02734,ENGINEERING,Point & Crossing,3,76.49,40.88,9.6,43,3,1,3,0,4,2,0,0
ML-02735,TRD,OHE,1,76.35,30.98,15.8,35,1,0,3,0,2,0,1,1
ML-02736,ENGINEERING,Track,4,73.16,50.09,13.3,61,1,1,3,0,2,1,2,0
ML-02737,S&T,Signal,3,74.08,34.01,8.8,184,1,1,3,1,1,1,0,0
ML-02738,S&T,Signal,5,67.48,60.14,17.1,113,3,2,4,1,4,1,2,1
ML-02739,ENGINEERING,Bridge,2,74.77,36.79,16.3,114,1,0,3,1,6,3,0,1
ML-02740,TRD,Transformer,4,82.4,45.91,10.1,110,4,1,3,1,4,1,1,0
ML-02741,TRD,Transformer,5,81.78,45.65,7.5,186,2,0,2,1,5,1,1,0
ML-02742,TRD,Section Insulator,3,80.08,24.76,6.9,36,1,1,2,0,2,0,0,0
ML-02743,TRD,Transformer,4,78.95,49.29,6.3,34,0,0,0,0,0,0,0,0
ML-02744,ENGINEERING,Bridge,4,78.8,50.04,14.3,73,0,0,0,0,1,0,1,0
ML-02745,TRD,Transformer,4,89.02,30.21,7.4,73,1,0,2,0,0,0,0,0
ML-02746,S&T,Axle Counter,4,59.25,55.32,12.4,198,4,3,3,0,4,2,1,0
ML-02747,TRD,Transformer,4,69.62,53.54,16.9,29,0,0,0,0,3,1,1,0
ML-02748,TRD,OHE,3,82.15,34.54,14.4,18,0,0,0,0,0,0,0,0
ML-02749,ENGINEERING,Track,1,73.54,23.16,8.0,56,2,1,3,0,5,0,0,0
ML-02750,ENGINEERING,Point & Crossing,4,70.11,50.67,17.9,107,3,1,3,0,4,1,2,0
ML-02751,ENGINEERING,Bridge,4,60.99,52.09,22.1,62,5,2,5,1,2,0,1,1
ML-02752,TRD,Section Insulator,5,84.92,46.58,9.2,16,1,0,3,1,3,3,2,0
ML-02753,S&T,Signal,1,79.37,16.34,8.6,89,0,0,0,0,2,1,0,0
ML-02754,ENGINEERING,Track,4,75.14,44.03,8.3,196,0,0,0,1,3,3,1,1
ML-02755,TRD,Transformer,5,79.31,61.76,11.4,30,3,1,5,1,4,2,3,0
ML-02756,ENGINEERING,Bridge,3,80.91,39.72,10.2,85,1,0,1,1,5,0,1,0
ML-02757,S&T,Point Machine,3,79.06,34.23,7.5,176,4,2,3,1,3,1,2,0
ML-02758,S&T,Axle Counter,3,98.09,32.3,6.0,59,0,0,0,1,2,1,0,0
ML-02759,S&T,Axle Counter,1,89.11,14.42,12.7,95,0,0,0,0,3,0,0,0
ML-02760,ENGINEERING,Track,4,66.24,48.58,4.2,76,1,0,3,1,4,3,0,0
ML-02761,ENGINEERING,Bridge,4,65.52,60.51,13.7,129,1,0,1,0,7,3,2,0
ML-02762,TRD,Transformer,3,80.09,41.0,11.7,36,1,0,3,0,3,2,2,0
ML-02763,TRD,OHE,3,83.75,34.67,10.8,184,2,0,3,0,2,2,0,0
ML-02764,ENGINEERING,Track,3,71.85,35.27,13.4,81,3,2,3,0,2,1,1,0
ML-02765,TRD,Section Insulator,4,84.69,37.82,5.3,45,1,0,3,1,3,1,0,0
ML-02766,ENGINEERING,Point & Crossing,4,79.07,41.43,11.9,78,3,0,1,1,2,0,0,1
ML-02767,TRD,Transformer,4,74.89,45.26,11.2,59,5,2,3,0,0,0,0,0
ML-02768,S&T,Axle Counter,1,90.8,19.36,9.9,42,0,0,0,0,5,1,1,0
ML-02769,TRD,Transformer,1,86.54,18.63,8.8,69,0,0,0,0,2,1,1,0
ML-02770,S&T,Axle Counter,1,92.33,16.83,11.2,95,3,0,4,0,1,0,0,1
ML-02771,TRD,Section Insulator,3,65.37,47.38,18.5,76,1,0,4,1,1,1,0,0
ML-02772,S&T,Signal,4,65.86,60.75,12.0,48,2,0,3,1,2,2,0,0
ML-02773,S&T,Point Machine,3,78.79,35.61,12.1,146,2,1,5,1,4,3,0,0
ML-02774,ENGINEERING,Bridge,4,56.18,68.41,17.3,152,2,0,3,0,6,4,4,0
ML-02775,TRD,Section Insulator,1,78.52,26.66,10.4,76,1,0,3,0,3,1,0,0
ML-02776,S&T,Axle Counter,3,85.91,27.17,2.2,123,3,1,2,0,4,1,1,0
ML-02777,TRD,OHE,4,92.53,37.44,7.5,48,5,1,4,1,4,1,1,1
